  day,George Washington University Hospital_admissions,Hadley Memorial Hospital_admissions,Howard University Hospital_admissions,MedStar Georgetown University _admissions,Sibley Memorial Hospital_admissions,Providence Hospital_admissions,United Medical Center_admissions,MedStar Washington Hospital Center_admissions,Other D.C. Hospitals_admissions,Virginia_admissions,Meritus Medical Center_admissions,University of Maryland Medical Center_admissions,Prince George's Hospital Center_admissions,Holy Cross Hospital_admissions,Frederick Memorial Hospital_admissions,Mercy Medical Center_admissions,Johns Hopkins Hospital_admissions,Dorchester (UMSRH)_admissions,St. Agnes Hospital_admissions,Sinai Hospital of Baltimore_admissions,White Oak Medical Center_admissions,Garrett Memorial Hospital (WVU)_admissions,Montgomery Medical Center (MedStar)_admissions,Peninsula Regional Medical Center_admissions,Suburban Hospital_admissions,Anne Arundel Medical Center_admissions,Union Memorial Hospital (MedStar)_admissions,Western Maryland Medical Center (UPMC)_admissions,St. Mary's Hospital_admissions,Johns Hopkins Bayview Medical Center_admissions,Chestertown (UMSRH)_admissions,Carroll Hospital Center_admissions,Harbor Hospital (MedStar)_admissions,Charles Regional (UM)_admissions,Easton (UMSRH)_admissions,UMM Center Midtown Campus (acute) (Formerly Maryland General)_admissions,Calvert Memorial Hospital_admissions,Northwest Hospital_admissions,Baltimore Washington Medical Center_admissions,Greater Baltimore Medical Center_admissions,Howard County General Hospital (JHM)_admissions,Doctors Community Hospital_admissions,Greater Laurel_admissions,Good Samaritan Hospital (MedStar)_admissions,Shady Grove Adventist Hospital_admissions,Fort Washington Hospital_admissions,Atlantic General Hospital_admissions,Southern Maryland Hospital (MedStar)_admissions,St. Joseph's (UM)_admissions,Holy Cross Germantown_admissions,Queenstown Emergency Center_admissions,Franklin Square (MedStar)_admissions,Grace Medical Center_admissions,Union Hospital of Cecil County_admissions,Upper Chesapeake Medical Center (UMUCH)_admissions,Edward McCready Memorial Hospital_admissions,Harford Memorial Hospital (UMUCH)_admissions
1/11/2021,3.225806452,7.903225806,4.225806452,3.096774194,2,3.096774194,3.806451613,6.032258065,0.225806452,106.5806452,4.838709677,4.258064516,4.612903226,8.516129032,9.064516129,2.774193548,7.290322581,0.741935484,7.580645161,3.838709677,4.096774194,0.451612903,4.290322581,5.612903226,7.322580645,12.58064516,3.64516129,1.290322581,3.774193548,5.096774194,1.225806452,5.290322581,3.64516129,4.451612903,2.129032258,1.225806452,3.516129032,3.161290323,10.96774194,5.774193548,14.38709677,5.935483871,3.161290323,3.935483871,9.483870968,4.870967742,6.870967742,4.806451613,6.322580645,4.322580645,1.387096774,8.677419355,1.483870968,2.322580645,6.032258065,0.161290323,2.064516129
1/12/2021,3.903225806,8.290322581,4,3.709677419,2.161290323,3.516129032,3.096774194,5.419354839,0.225806452,105.6451613,5.064516129,4.419354839,4,8.451612903,8,2.838709677,7.548387097,0.870967742,6.709677419,3.967741935,4.548387097,0.35483871,3.774193548,6.129032258,8.129032258,11.32258065,3.64516129,1.838709677,3.258064516,4.258064516,0.967741935,4.225806452,3.806451613,5.387096774,1.64516129,1.483870968,2.870967742,2.967741935,9.967741935,5.677419355,13.64516129,6.483870968,3.612903226,3.161290323,9.903225806,5.580645161,6.967741935,5.709677419,6.322580645,4.225806452,1.483870968,7.806451613,1.258064516,2.096774194,6.806451613,0.290322581,1.903225806
1/13/2021,4.129032258,8.677419355,4.483870968,3.870967742,2.258064516,2.903225806,4.451612903,5.612903226,0.387096774,106,4.451612903,4.193548387,4.419354839,8.193548387,7.322580645,3.193548387,6.548387097,1.161290323,6.290322581,3.806451613,3.838709677,0.258064516,3.935483871,5.225806452,8.129032258,11.12903226,3.903225806,1.548387097,3.935483871,3.967741935,0.806451613,4.677419355,3.903225806,5.516129032,1.741935484,1.193548387,3.096774194,2.548387097,10.35483871,4.838709677,13.06451613,5.677419355,3.451612903,3.612903226,10.80645161,5.806451613,6.161290323,4.774193548,5.870967742,4.516129032,1.322580645,8.096774194,1.322580645,2.741935484,7.322580645,0.129032258,1.870967742
1/14/2021,4.483870968,8.032258065,4.258064516,3.741935484,2.161290323,3.806451613,3.838709677,5.838709677,0.225806452,106.1612903,4.580645161,4.419354839,4.709677419,8.806451613,7.935483871,3.516129032,6.935483871,0.806451613,6.516129032,3.677419355,4.225806452,0.322580645,4.387096774,5.193548387,8.838709677,11.83870968,3.548387097,1.322580645,3.806451613,3.741935484,0.838709677,4.516129032,3.677419355,5.193548387,2.387096774,1.483870968,3.032258065,2.838709677,9.806451613,5.129032258,13.32258065,6.806451613,2.709677419,3.612903226,10.06451613,5.451612903,7.35483871,5.064516129,5.483870968,5.258064516,1.548387097,8.225806452,1.35483871,2.419354839,7.129032258,0.064516129,2.064516129
1/15/2021,3.806451613,7.419354839,4.774193548,3.677419355,2.096774194,3.096774194,3.290322581,5.387096774,0.451612903,104.7096774,4.709677419,4.322580645,4.225806452,8.419354839,7.419354839,2.967741935,6.677419355,0.838709677,6.483870968,3.032258065,4.548387097,0.35483871,4.064516129,4.935483871,7.612903226,11.03225806,3.64516129,1.290322581,3.741935484,3.483870968,1.193548387,5.161290323,3.967741935,5.967741935,2.096774194,1.322580645,3.064516129,2.580645161,9.516129032,5.806451613,12.48387097,6.483870968,3.096774194,2.967741935,8.967741935,5.064516129,6.516129032,5.290322581,4.967741935,3.774193548,1.161290323,8.064516129,1.322580645,2.064516129,7.451612903,0.129032258,1.838709677
1/16/2021,4,8.129032258,4.451612903,3.870967742,2,3.35483871,3.516129032,5.387096774,0.193548387,106.5483871,4.387096774,3.741935484,4.451612903,8.322580645,7.612903226,3.580645161,6.677419355,0.774193548,8.032258065,3.548387097,4.258064516,0.35483871,3.677419355,5.032258065,8.516129032,11.38709677,3.032258065,1.580645161,2.838709677,4.677419355,1,5.580645161,3.387096774,5.903225806,1.870967742,1.032258065,3.225806452,3.258064516,9.64516129,4.903225806,11.51612903,5.935483871,3.387096774,2.935483871,9.677419355,5.161290323,6.225806452,5.612903226,5.548387097,4.096774194,1.483870968,8,1.096774194,2.35483871,6.935483871,0.129032258,2.032258065
1/17/2021,3.580645161,8.580645161,4.838709677,3.677419355,2.064516129,2.838709677,4.225806452,5.838709677,0.419354839,111.8064516,3.677419355,4.419354839,4.387096774,8.709677419,7.580645161,3,6.967741935,0.741935484,7.64516129,3.096774194,4.806451613,0.35483871,3.774193548,5.580645161,8.548387097,10.22580645,3.677419355,1.064516129,3.903225806,4.193548387,1.225806452,5.129032258,3.580645161,5.35483871,2.290322581,1.290322581,2.741935484,3.161290323,9.838709677,4.483870968,12.29032258,5.032258065,3.096774194,3.709677419,10.41935484,4.516129032,5.967741935,5.225806452,6.225806452,5.129032258,0.935483871,7.161290323,1.290322581,2.419354839,6.451612903,0.322580645,1.483870968
1/18/2021,3.935483871,8,5.225806452,4.064516129,1.838709677,3.612903226,4.129032258,5.548387097,0.258064516,114.1,4.064516129,4.225806452,4.548387097,8.741935484,7.483870968,2.387096774,6.225806452,0.580645161,7.64516129,3.064516129,4.838709677,0.451612903,4.064516129,5.451612903,8.64516129,11.06451613,3.580645161,1.161290323,3.225806452,4.35483871,1.096774194,3.967741935,3.290322581,5.322580645,2.032258065,1.612903226,3.193548387,2.774193548,9.193548387,5.677419355,12.06451613,6.387096774,3.419354839,3.193548387,10.09677419,5.322580645,6.451612903,4.548387097,4.935483871,4.193548387,0.935483871,8.129032258,1.129032258,2.387096774,7.096774194,0.290322581,1.741935484
1/19/2021,4.032258065,8.290322581,5.551612903,4.35483871,2.193548387,3.290322581,3.938709677,6.387096774,0.290322581,112.8354839,3.903225806,4.451612903,4.225806452,9.458064516,6.548387097,2.35483871,6.906451613,0.64516129,7.193548387,2.870967742,5.096774194,0.451612903,4.164516129,5.709677419,8.322580645,10.61935484,3.870967742,1.35483871,4.358064516,3.519354839,0.870967742,4.709677419,3.161290323,5.487096774,1.838709677,1.419354839,3.064516129,2.838709677,10.03225806,5.064516129,11.2,6.35483871,3.935483871,3.322580645,11.96774194,5.419354839,6.612903226,5.967741935,6.132258065,4.838709677,1.322580645,7.709677419,1.258064516,2.129032258,7.129032258,0.129032258,2.483870968
1/20/2021,4.332258065,8.335483871,3.967741935,4.393548387,2.648387097,3.616129032,3.974193548,5.119354839,0.451612903,110.4935484,3.809677419,4.4,4.719354839,8.487096774,6.432258065,2.870967742,6.590322581,0.35483871,6.112903226,3.680645161,4.6,0.225806452,3.587096774,5.780645161,9.725806452,10.53870968,3.612903226,1.003225806,3.170967742,3.780645161,0.777419355,5.012903226,3.038709677,6.096774194,1.683870968,1.422580645,2.622580645,3.035483871,9.606451613,5.170967742,11.79032258,6.283870968,3.651612903,2.780645161,10.16774194,4.129032258,6.009677419,4.941935484,4.980645161,4.312903226,1.322580645,7.616129032,1,2.293548387,7.732258065,0.1,1.522580645
