city,number_of_hospitals,capacity,admissions,transfers_out,transfers_in,overflow_with_transfers,overflow_without_transfers,required_beds_with_transfers,required_beds_without_transfers
Defuniak Springs,1,3.0,0.0,0.0,13.927291517610676,0.0,0.0,0.0,0.0
Riviera Beach,1,3.0,0.0,0.0,13.0252221670295,0.0,0.0,0.0,0.0
Belle Glade,1,3.0,18.740816326530613,3.8795837865974745,0.09897441119714843,0.0,19.961,0.0,1.177
Clewiston,1,2.0,7.9714285714285715,0.0,2.6787636367746104,0.0,0.0,0.0,0.0
Tavernier,1,2.0,2.1997599039615836,0.0,0.9520114115972655,0.0,0.0,0.0,0.0
Land O Lakes,1,0.5,0.0,0.0,2.5785823462554784,0.0,0.0,0.0,0.0
Wesley Chapel,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Port Saint Joe,1,0.0,9.042857142857141,9.042857142857143,0.0,0.0,42.426,0.0,1.709
Blountstown,1,0.0,5.185714285714284,5.185714285714285,0.0,0.0,23.647,0.0,1.023
Bonifay,1,0.0,6.164285714285714,6.164285714285713,0.0,0.0,28.783,0.0,1.074
Perry,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Macclenny,1,0.0,6.241959183673467,6.241959183673467,0.0,0.0,30.986,0.0,1.205
Marathon,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chattahoochee,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Apalachicola,1,0.0,0.5231256557190814,0.5231256557190814,0.0,0.0,1.921,0.0,0.195
Green Cove Springs,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Madison,1,0.0,3.011020408163265,3.011020408163265,0.0,0.0,13.76,0.0,0.846
Chipley,1,0.0,9.750612244897955,9.750612244897958,0.0,0.0,46.092,0.0,1.678
Rockledge,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Miami Lakes,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lake Worth,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Oxford,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
