date,JHH_moderate,SH_moderate,BMC_moderate,HCGH_moderate,SMH_moderate,JHH_pessimistic,SH_pessimistic,BMC_pessimistic,HCGH_pessimistic,SMH_pessimistic,JHH_catastrophic,SH_catastrophic,BMC_catastrophic,HCGH_catastrophic,SMH_catastrophic,JHH_moderate_std,SH_moderate_std,BMC_moderate_std,HCGH_moderate_std,SMH_moderate_std,JHH_pessimistic_std,SH_pessimistic_std,BMC_pessimistic_std,HCGH_pessimistic_std,SMH_pessimistic_std,JHH_catastrophic_std,SH_catastrophic_std,BMC_catastrophic_std,HCGH_catastrophic_std,SMH_catastrophic_std
2021-01-28,107.310297524692,120.028678449668,62.93106927397548,166.32728351319696,37.66513362336861,182.46041355912405,205.26644278054704,111.94208329874303,305.669091543963,65.96712307076912,242.05076310886005,278.275371396381,145.599142126797,412.333994643172,86.44603514615712,18.758502429440192,16.611794261269694,12.053109007705302,30.8855809785358,6.620060369339102,27.900150089318398,28.787529363724005,17.065079575382,49.418047779533104,10.474621265142902,62.497941065518305,77.8525679838536,38.89705185322168,113.32604689412304,25.3484516225791
2021-01-29,106.125285837226,117.66145558086598,62.000942502106085,165.510459033545,37.5146691635456,181.90895905795497,204.01327058504495,111.24746210929202,304.2410515383379,65.039830975056,241.07920950862996,277.072911276264,145.72431166180002,411.49547943636196,85.8851285781788,18.661638133984095,16.334538858495108,10.842416870200502,26.4987884974975,7.585272332475199,25.8222997945683,28.289843264310193,15.181106684888995,47.0025136809017,10.657189910979104,61.675279543200304,77.9567143900416,38.46328464415201,113.40212496839499,25.477603328643802
2021-01-30,106.50754344878601,116.369789842382,63.480293809024104,161.00037253858397,37.3592312539383,180.74544421428104,201.39896489408795,110.43168533645999,302.558344025382,65.0988578240064,240.522679432725,274.658384868794,145.30950079958498,409.759210543046,84.85283417811642,18.231910297875803,13.606807299309502,11.160566143224194,25.099442550775898,7.6253941737175985,24.0938460221638,30.185896614858997,13.6162936233715,45.9336567520879,9.985898372334601,62.17193618666259,78.6409626209627,38.05745130719381,113.44536671006801,25.616151760526506
2021-01-31,104.78755617977501,113.290852575488,63.860113900021105,159.151885779478,36.120225442834105,180.403955113737,200.19205129095295,108.43674240586999,300.089438239267,65.11961834594051,239.08367589424097,272.40907786613906,144.38867250920802,407.2434973585801,84.1476589832287,17.889553944830798,12.775237629119005,10.1211106397969,24.386527257893796,7.6905523883982045,23.349583214704406,30.474537768960296,13.826105568549998,44.2764276299835,9.494316711317097,62.17288281504361,79.88585663771373,37.707795334593094,113.16761982806798,25.406890246837804
2021-02-01,102.79351370210601,112.47668433005302,62.4309732620321,157.813349415602,35.3291585127202,178.80417377304602,198.13880442830694,108.32508555809497,298.360758092292,65.13874978616319,238.00831505955102,269.446729012887,144.186917731639,404.17926851291605,83.45921899761159,17.750033966873797,14.831670729661901,9.043494851694799,25.43120697177371,7.031022806656969,23.144456444358102,30.753354400694498,14.472180436082702,41.75859478736721,9.742057977892099,61.909565703355,80.1032718344256,37.39157577323241,111.65543923092898,25.654334863170703
2021-02-02,100.592995261877,109.97157221206601,62.470350462266225,154.644751875559,34.98029605263161,178.18114732624403,198.290904091698,108.19060465311999,296.028713080427,64.27676654560001,236.01248881977097,265.91154435511896,143.388811898851,401.070133030463,82.91385194475433,16.098339708244698,15.463170075019598,9.571507208125201,22.631084795954784,6.769666555611501,23.324553773610198,32.65956368237939,14.484167180097401,39.5752923482617,11.12675298829,61.88767477782781,80.43912319819353,37.2701327525426,111.42657066009801,25.551546455131806
2021-02-03,100.448909114382,109.52488606613001,61.5713817227809,152.33059456438204,33.56856418918921,176.63551701373598,196.22124608783503,107.18670215949399,293.64725472166197,63.26329935548728,233.02442006919796,262.96033114207205,142.86882660987104,396.338129123605,81.9230800502163,14.571258278019805,16.441368823459502,10.343225009835702,22.133928484546203,5.791556926993701,23.28731748691321,33.849883823958805,14.2268776025557,39.1434040651344,11.2078093483237,62.167423880453,80.5982757616105,37.65916302137168,112.09735371625601,25.535472840474903
2021-02-04,100.163481418477,108.78099666306802,61.3245754300838,152.02023483090804,33.122015688949496,175.40284172718597,193.94160678914298,106.949257644191,290.14898920684504,62.2804363687664,230.16821524793403,258.802208919374,141.49826005980802,391.93075189985103,80.91866081681017,14.875855335833005,17.539715646159394,10.067635150466401,22.2688047297751,5.729089367954099,23.5372813936466,34.920665587904104,14.247150424177804,38.3406255581383,11.790036462542403,61.327412393648814,80.15425490848442,37.697300187218005,112.22405650799396,25.7624034534956
2021-02-05,100.19495208087201,109.07231409050401,59.7327422633838,151.32981874290599,33.0685207404868,173.37373681858503,191.64622122793799,106.16119680300402,287.542712162717,61.01611779071179,227.76039579100404,254.82317525697397,140.186192551851,388.0870878182101,79.8664014052272,14.143729940056794,17.980530688399405,9.363716073020903,21.213833706898804,5.549529050721599,23.79437360143929,36.71203643512599,14.142421040776401,41.68492464913952,12.479559141531603,62.15861725111421,80.91832107810342,37.7760309858427,112.85014190193701,25.656707883590904
2021-02-06,100.057608263806,107.546757081373,60.301889338731385,150.486222588505,32.666956219596905,171.08909726589604,189.76002847392598,104.95134532812502,283.26775242399,59.456225888533396,225.09973850507703,250.61079639102303,138.91242648337402,383.13281098276104,78.47965347422442,13.1202300415837,15.925796910012608,9.940565441978897,21.638211247990007,5.546881531728207,24.160397735275602,38.2432766799138,14.534296414889496,41.95718608409289,12.290857830548,62.7420879549303,81.47046338241543,37.73056101074069,113.10955040185601,25.763846155039502
