date,JHH_moderate,SH_moderate,BMC_moderate,HCGH_moderate,SMH_moderate,JHH_pessimistic,SH_pessimistic,BMC_pessimistic,HCGH_pessimistic,SMH_pessimistic,JHH_catastrophic,SH_catastrophic,BMC_catastrophic,HCGH_catastrophic,SMH_catastrophic,JHH_moderate_std,SH_moderate_std,BMC_moderate_std,HCGH_moderate_std,SMH_moderate_std,JHH_pessimistic_std,SH_pessimistic_std,BMC_pessimistic_std,HCGH_pessimistic_std,SMH_pessimistic_std,JHH_catastrophic_std,SH_catastrophic_std,BMC_catastrophic_std,HCGH_catastrophic_std,SMH_catastrophic_std
2021-05-18,0.21,0.48999999999999994,0.105,0.735,0.017499999999999998,0.3045801526717558,0.582442748091603,0.09618320610687038,0.6839694656488546,0.06412213740458014,0.23388235294117676,0.5171764705882355,0.10870588235294128,0.6670588235294115,0.04117647058823529,0.3897435053981014,0.5467174773134655,0.24994999499899942,0.797355002492615,0.10928746497197199,0.458484492469584,0.6364837705972312,0.2702570391291988,0.726049311080926,0.21966966952314723,0.41385446182315544,0.6688437991651422,0.2915991940410647,0.6833805649415206,0.1906608431047796
2021-05-19,0.33249999999999996,0.8575,0.105,0.7525,0.017499999999999998,0.2992366412213738,0.5664122137404576,0.112213740458015,0.6679389312977101,0.05877862595419849,0.2536470588235297,0.5599999999999999,0.10376470588235288,0.726352941176471,0.02470588235294116,0.46924806872271724,0.8206361861385381,0.24994999499899942,0.6891979033630327,0.10928746497197199,0.4895076484530777,0.6243910849991345,0.2709955918526465,0.768091436149289,0.19413941201846519,0.4020443260865745,0.6908817894971776,0.266630285868954,0.7618319207230199,0.12916554116412587
2021-05-20,0.24499999999999997,0.8225,0.1925,0.63,0.034999999999999996,0.320610687022901,0.6732824427480913,0.11755725190839698,0.6358778625954196,0.026717557251908386,0.2882352941176471,0.5418823529411768,0.09882352941176449,0.6851764705882355,0.027999999999999997,0.3687478813498459,0.69802847363127,0.3830062009941881,0.6221736092120913,0.15256146302392376,0.4347004860332491,0.720562166822981,0.28884632751809797,0.7562531889822419,0.1341210729558441,0.4307617779499012,0.6373372809498759,0.25302597757684797,0.7336237403380199,0.13717142559585777
2021-05-21,0.22749999999999998,0.595,0.0525,0.7,0.0525,0.27251908396946595,0.582442748091603,0.1389312977099236,0.6305343511450382,0.032061068702290106,0.23388235294117676,0.5616470588235296,0.1383529411764703,0.728,0.02635294117647058,0.3955929094410061,0.6741476099490376,0.1843739406749226,0.6822756041366271,0.18437394067492327,0.47035043539742855,0.6364837705972312,0.3284412687768093,0.81070067986369,0.14633808788305977,0.41385446182315544,0.6346927873042638,0.32461686759415975,0.7457121349658259,0.1332388130946789
2021-05-22,0.385,0.5425,0.12249999999999998,0.77,0.034999999999999996,0.19236641221374076,0.44351145038167933,0.09618320610687038,0.625190839694656,0.05343511450381677,0.252,0.5830588235294115,0.1136470588235297,0.737882352941174,0.01647058823529413,0.5179527005432059,0.5748423696979894,0.308615861549597,0.84,0.15256146302392376,0.37754092253004545,0.6249395985031555,0.2702570391291988,0.6878824139986476,0.18587433575035497,0.4554527159547848,0.6901628512501043,0.29949308961417437,0.737499900885573,0.1061043424553833
2021-05-23,0.385,0.5425,0.12249999999999998,0.77,0.034999999999999996,0.2511450381679386,0.6625954198473281,0.06412213740458014,0.5770992366412216,0.03740458015267176,0.2536470588235297,0.540235294117647,0.11858823529411738,0.6802352941176472,0.01647058823529413,0.0,0.0,0.0,0.0,0.0,0.526600274584944,0.7799330444801978,0.20192535174631818,0.6265822579916788,0.15742967792151671,0.4429761567314034,0.6378308395889913,0.28368645882455407,0.7070967592837819,0.106104342455384
2021-05-24,0.385,0.5425,0.12249999999999998,0.77,0.034999999999999996,0.28320610687022924,0.5931297709923663,0.15496183206106887,0.5396946564885498,0.032061068702290106,0.27670588235294125,0.5418823529411768,0.1136470588235297,0.6769411764705884,0.018117647058823547,0.0,0.0,0.0,0.0,0.0,0.4719866526376035,0.6441979260229841,0.35964650593357844,0.6270833234519952,0.14633808788305977,0.42354078416104207,0.6152464721177096,0.29561838301043225,0.740451410058381,0.11114901621799639
2021-05-25,0.385,0.5425,0.12249999999999998,0.77,0.034999999999999996,0.2778625954198472,0.6786259541984734,0.15496183206106887,0.7641221374045769,0.032061068702290106,0.2651764705882355,0.5550588235294116,0.09552941176470581,0.6571764705882355,0.018117647058823547,0.0,0.0,0.0,0.0,0.0,0.4296794609185421,0.6410877723412476,0.3153124563161027,0.8088318503754021,0.14633808788305977,0.4401192666290952,0.627734720158709,0.267544414706849,0.6978633133732195,0.1210784297848699
2021-05-26,0.385,0.5425,0.12249999999999998,0.77,0.034999999999999996,0.2778625954198472,0.5183206106870231,0.1068702290076337,0.5557251908396944,0.02137404580152674,0.24705882352941153,0.5369411764705884,0.08564705882352969,0.739529411764703,0.03458823529411761,0.0,0.0,0.0,0.0,0.0,0.44675079316808985,0.6732400325913458,0.27991024725484376,0.6513825936103541,0.1204366315833471,0.4061260990191321,0.6130157344289293,0.24399829825261726,0.7046332477543449,0.1517083342638794
2021-05-27,0.385,0.5425,0.12249999999999998,0.77,0.034999999999999996,0.320610687022901,0.5610687022900763,0.13358778625954226,0.5290076335877864,0.032061068702290106,0.2371764705882355,0.5369411764705884,0.09882352941176449,0.752705882352942,0.021411764705882318,0.0,0.0,0.0,0.0,0.0,0.4757826107690516,0.5633287813441484,0.2883516425728988,0.6182329595776501,0.16998750541085178,0.4006248406873684,0.6092425838297562,0.2706393813554935,0.7513116189630799,0.1205395023479752
