date,JHH_moderate,SH_moderate,BMC_moderate,HCGH_moderate,SMH_moderate,JHH_pessimistic,SH_pessimistic,BMC_pessimistic,HCGH_pessimistic,SMH_pessimistic,JHH_catastrophic,SH_catastrophic,BMC_catastrophic,HCGH_catastrophic,SMH_catastrophic,JHH_moderate_std,SH_moderate_std,BMC_moderate_std,HCGH_moderate_std,SMH_moderate_std,JHH_pessimistic_std,SH_pessimistic_std,BMC_pessimistic_std,HCGH_pessimistic_std,SMH_pessimistic_std,JHH_catastrophic_std,SH_catastrophic_std,BMC_catastrophic_std,HCGH_catastrophic_std,SMH_catastrophic_std
2021-03-21,53.673368762917,44.778632963046896,33.0500912408759,66.8909460516028,14.754850157728699,68.2209007338791,53.200155169846106,42.6934963391926,86.77209149449759,17.8959289785597,76.3635099913119,60.2001067858645,48.2400272483002,106.92219306405899,19.549655975472103,24.797567925101,34.6691144969121,13.660870213862697,43.6093739922967,11.1478417193643,41.8644480968204,49.929419328843295,25.6817400962653,74.9469481966751,16.0249499542454,57.1005329664435,66.6852048043071,36.5772530520056,103.79148770025,21.127329125712
2021-03-22,51.74536271809,43.348471539002105,32.3213770053476,63.922100338764295,14.056866048862698,66.00227071454191,50.7520344172745,40.9343288289202,82.5256810839846,16.8690058005397,73.04992172234141,56.939695982289,46.232065377499296,101.385800982127,18.585196303464,24.009360153906602,33.9176852836393,13.7322385283682,43.0876359876009,11.008632975987501,40.8708691746252,48.9151692464987,24.822124622067598,73.3421234399682,15.4790526906071,54.991026333053895,64.32057790372,35.5843427331581,100.662022169567,20.4538019071455
2021-03-23,50.7392902609803,41.4994238784016,31.465373961218802,61.1942558528428,13.2719580119966,63.847116416252796,48.232586234632905,39.2312206719519,78.6681575864147,16.156181194326802,70.2760375046966,53.87327114937221,44.5749830166471,96.07103889127849,17.6047278621126,24.5769709280863,33.5603560767761,13.822422906278,42.3033982086546,10.9681071748958,39.8769975240212,47.3721699633293,24.1094855215918,71.0718163321002,15.0092293343735,53.0988910407532,62.120768816387795,34.629923176911,97.37667842120109,19.8502150285129
2021-03-24,49.6333416833667,39.274032586558,30.1213745800672,58.0125,12.9926391382406,61.6426216842167,45.689522590125506,37.893780681461,75.0032949706077,15.57733456508,67.4032142152024,50.874787830181894,42.7274844666396,90.8136929856974,16.6515803771572,24.2604487798557,32.5519200662572,13.4096746791263,41.633249933196396,10.762173339990401,39.0254795525845,45.9096852709559,23.4120183576273,69.0471463585225,14.778302627212,51.2164093514101,60.0475873109695,33.3607526074109,94.2832350991482,19.041826262332197
2021-03-25,48.7223124783961,37.202,29.6517181129878,55.6530587051939,12.5499058380414,59.242961052965605,43.1768792352106,36.4777977898786,71.4033403878871,14.717409940645899,64.6892969368392,47.7736772338589,41.1248281977389,85.8640965603543,15.6769749656266,23.8677475895821,31.6472352662914,13.6143306849804,41.3370218448306,10.573079021742,37.52768960038971,44.0860479996426,22.9091816588271,67.62156338581329,14.211710975880198,49.503975248437605,57.5657733758512,32.0737710215568,91.01811262003571,18.265689127650198
2021-03-26,47.033230713509596,35.457937806874,28.867938701923105,52.9367321632964,12.0978813559322,57.0775985715736,41.057183929264205,35.157190989784006,67.89100447908979,14.112024075490101,62.058442615012105,45.0061483093847,39.36689343087029,81.067476813372,14.770713482676301,23.0983630372371,30.9355782231398,13.657873187286501,40.60083127227821,10.3099163430166,36.63314160280179,43.1067843899237,22.312659792527498,65.16424990028001,13.8918798196209,47.70303036372379,55.594000323527005,30.999924902241897,87.6224726669076,17.5737637099813
2021-03-27,45.0155423280423,33.685268484678105,28.4705660377358,49.560125698324,11.637346938775499,55.2068495485941,38.6960482544146,33.800079987480196,64.6653563844887,13.430647688256302,59.5070611367552,42.1868366007225,37.853445048054795,76.3055821545158,13.973788913016,22.236217641496502,29.6632769599045,13.1837020597403,39.5439944871532,10.0029995501349,35.4682135557142,41.6794983640885,21.679155465892897,63.1573160505785,13.2145055586153,45.6513323651436,53.21030157564999,30.011816450251697,84.4504585551376,16.9929030576079
2021-03-28,42.8660179057999,32.10767888307161,27.8024852844997,47.4981325672071,11.130700836820099,53.0478243508311,36.736075793983495,32.9185211489419,61.2880351940498,12.6945609230232,56.9388646892856,39.5090040555069,36.2994632412842,72.02578048893051,13.2483199918265,21.1764019606731,28.4817485418294,13.1795295818933,38.708655362851296,9.861256258712679,34.3489312263737,40.1701279792069,21.4805715126157,61.561038293824794,12.6551164552435,44.071515708968,50.945782375663995,28.778633365889803,81.4558698618343,16.3388113309794
2021-03-29,41.9167712550607,30.5958070333634,26.545971563981,45.4546158743633,10.508085808580901,51.2203501302784,34.772889389134896,31.7698156120335,57.932771036295904,12.0216227641158,54.248896177335396,36.88197661457,34.8620243572395,67.805632444326,12.5062816125353,21.0248513668944,27.9047934950252,13.0592639532249,38.267838977397204,9.74666609667121,33.527809045206496,39.0183281077733,20.5009149157477,59.40217094272779,12.287487281225,42.371378731876796,48.70681124433929,27.7270136974993,78.4046614672393,15.6573959662169
2021-03-30,40.1658312182741,28.5320621468927,26.3896443514644,43.4399536321484,10.1802213393871,49.2008416132034,32.566232397277304,30.8026597866851,54.8423900098375,11.474661760152301,52.1059983745761,34.5055008657013,33.4627238021036,63.6450588253864,11.6524052829461,20.309342062213602,26.623755839475397,12.8248781670626,37.4509596005229,9.66562853621015,32.1597789785935,37.5019219444162,19.755306341938397,58.213972688389504,11.8659303475389,40.839237256026,46.941136134436505,26.7824418029301,75.05867416544241,14.7229987918768
