date,JHH_moderate,SH_moderate,BMC_moderate,HCGH_moderate,SMH_moderate,JHH_pessimistic,SH_pessimistic,BMC_pessimistic,HCGH_pessimistic,SMH_pessimistic,JHH_catastrophic,SH_catastrophic,BMC_catastrophic,HCGH_catastrophic,SMH_catastrophic,JHH_moderate_std,SH_moderate_std,BMC_moderate_std,HCGH_moderate_std,SMH_moderate_std,JHH_pessimistic_std,SH_pessimistic_std,BMC_pessimistic_std,HCGH_pessimistic_std,SMH_pessimistic_std,JHH_catastrophic_std,SH_catastrophic_std,BMC_catastrophic_std,HCGH_catastrophic_std,SMH_catastrophic_std
2021-02-11,12.175,15.8,7.525,23.175,4.55,21.480916030534395,25.2595419847328,13.793893129770998,40.572519083969496,7.53435114503817,26.851764705882395,31.550588235294104,16.8894117647059,50.04470588235289,9.329411764705881,3.62551720448269,4.84355241532493,3.1223989174991695,5.97029103143222,2.37644692766323,8.47299359936816,11.347789767820402,5.51433601056679,14.2555897885391,3.9814411252647,11.4765911291044,14.1890730413099,7.35515863034297,20.3406374235383,5.21127338010726
2021-02-12,13.475,15.625,7.3,22.175,4.325,20.5648854961832,24.0992366412214,12.9618320610687,38.6793893129771,7.709923664122139,26.611764705882397,30.2352941176471,16.8470588235294,48.44,9.183529411764711,4.4440268901076605,6.05263372425591,2.91719042916296,6.6516445334969605,2.4938674784358503,8.233333140667241,10.237526360511499,5.20775197307033,14.9728849966613,4.14524200643132,11.859267031856199,14.264103080046802,7.9292546676705395,20.5627144008132,5.16952260985875
2021-02-13,12.275,16.2,6.575,21.35,5.025,20.8091603053435,24.343511450381698,12.587786259542,38.4732824427481,7.038167938931299,25.710588235294104,30.3952941176471,15.7952941176471,47.37882352941179,9.29647058823529,3.1383713929361496,5.35350352572967,3.02396676569039,6.12596931105601,2.46462471788303,8.90159476561637,10.951503777927499,5.104810228183349,14.5131307980548,4.21086305119493,12.302788048715902,14.8015571985427,7.772529391954009,20.0257486846466,5.402971885019519
2021-02-14,11.775,14.9,7.35,19.925,4.475,20.770992366412198,23.587786259541996,12.1450381679389,38.167938931297705,7.045801526717559,25.1741176470588,29.265882352941198,15.7011764705882,46.414117647058795,8.703529411764709,4.2631414473366895,5.53534100123922,3.44637490705814,5.09601560044708,2.46969127625297,8.70076322483254,10.7971371870154,5.52733959638906,14.5030413613523,3.90118908359386,11.8959326013872,14.6038637348532,7.5195508958142305,20.364046477243498,5.304525194892809
2021-02-15,10.825,14.5,6.125,22.25,3.775,19.7786259541985,22.8167938931298,11.8473282442748,35.450381679389295,6.86259541984733,24.7882352941176,28.609411764705897,15.3247058823529,45.1317647058824,8.47529411764706,4.29469149066612,5.590169943749469,3.07560969565386,5.881113840081661,1.8369471957571297,8.579480292037731,11.1216737212571,5.618227264408739,15.276691690762998,4.21332556868862,12.045496222188401,14.1817747460639,7.49544027482674,20.9831653069211,5.3150154862782095
2021-02-16,11.6,14.575,6.875,21.0,3.7,19.1068702290076,21.9389312977099,11.8320610687023,35.8549618320611,6.80916030534351,24.127058823529396,27.458823529411802,15.343529411764697,44.46588235294121,8.18352941176471,3.9924929555354303,5.43547376040028,3.29535658161602,6.033241251599341,2.37907545067406,8.81900438236294,10.801297437752199,5.5301431752040004,14.561856551275199,4.27689425702256,11.7898399753177,14.942519624667199,7.35900324226883,20.8839795224005,5.25170777957762
2021-02-17,11.15,13.65,7.025,19.55,4.35,18.8854961832061,21.4580152671756,11.7251908396947,34.0992366412214,6.54961832061069,23.64,26.7576470588235,14.687058823529402,42.181176470588206,7.87058823529412,4.49193722128883,5.493405137071179,2.9705849592294102,6.468964368428691,2.8155816450602202,8.62947303758891,10.9963627171625,5.50787560370332,13.8403409490237,4.18688198667593,11.9770289942628,14.4393284548962,7.8301647227101805,20.1323298328403,5.087442984896
2021-02-18,9.85,13.675,5.6,20.4,3.4,17.9541984732824,21.068702290076303,11.320610687022901,32.8396946564885,6.23664122137405,22.616470588235302,26.268235294117602,14.185882352941197,41.7364705882353,7.52705882352941,3.48962748728285,6.21444888948328,2.58650343127551,7.12320152740325,1.93390796058137,8.49684503228069,11.162362358858099,5.758852694754901,15.077315650838198,3.78795209645243,11.986903118269598,14.5972939616718,7.82820170080665,20.6459501629615,4.90616390784668
2021-02-19,10.425,12.875,6.775,20.625,4.425,17.4732824427481,19.7786259541985,10.6030534351145,31.648854961832104,5.9770992366412194,21.574117647058802,24.872941176470604,13.425882352941198,39.84,7.48,4.48824854481122,4.64320740437039,3.48200732336967,6.275697172426339,2.8886631856275695,7.96013756092999,10.2169519934109,5.16547462302489,14.963530048531801,4.39719836005075,11.7783365742683,13.988326126455199,7.38391181104013,20.9988862449753,5.30218157099176
2021-02-20,9.6,13.45,5.65,19.475,3.6,15.9770992366412,19.3129770992366,9.98473282442748,29.9236641221374,5.648854961832059,20.943529411764697,24.16,13.0988235294118,38.28,7.082352941176469,4.4542114902640195,6.83355690691166,3.3132310514058596,6.049741730024509,1.92093727122985,8.22718046816775,10.4968799213597,5.1821548361093095,14.4092942443414,3.7415016459638397,11.691388958483401,14.471970474395098,7.52030184184036,19.8816308953472,4.9496565886959
