hospital_id,date,weeks_out,admissions_icu,admissions_acute,admissions_combined_ped,admissions_icu_lb,admissions_acute_lb,admissions_combined_ped_lb,admissions_icu_ub,admissions_acute_ub,admissions_combined_ped_ub,admissions_combined,admissions_combined_lb,admissions_combined_ub
010016,2022-01-15,2,1704.0,1704.0,0.0,1434.0,1434.0,0.0,2055.0,2055.0,0.0,3408.0,2868.0,4110.0
010016,2022-01-22,3,1686.0,1686.0,0.0,1314.0,1314.0,0.0,2198.0,2198.0,0.0,3372.0,2628.0,4396.0
010016,2022-01-29,4,1646.0,1646.0,0.0,1263.0,1263.0,0.0,1970.0,1970.0,0.0,3292.0,2526.0,3940.0
010018,2022-01-01,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
010018,2022-01-08,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
010018,2022-01-15,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
010018,2022-01-22,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
010018,2022-01-29,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
010019,2022-01-01,0,263.0,263.0,263.0,263.0,263.0,263.0,263.0,263.0,263.0,526.0,526.0,526.0
010019,2022-01-08,1,257.0,257.0,257.0,185.0,185.0,185.0,314.0,314.0,314.0,514.0,370.0,628.0
010019,2022-01-15,2,265.0,265.0,265.0,198.0,198.0,198.0,338.0,338.0,338.0,530.0,396.0,676.0
010019,2022-01-22,3,269.0,269.0,269.0,179.0,179.0,179.0,364.0,364.0,364.0,538.0,358.0,728.0
010019,2022-01-29,4,259.0,259.0,259.0,168.0,168.0,168.0,358.0,358.0,358.0,518.0,336.0,716.0
010021,2022-01-01,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
010021,2022-01-08,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
010021,2022-01-15,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
010021,2022-01-22,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
010021,2022-01-29,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
010022,2022-01-01,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
010022,2022-01-08,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
