,county_name,state,fips,forecasted_hospitalizations_2021-03-02,forecasted_hospitalizations_2021-03-03,forecasted_hospitalizations_2021-03-04,forecasted_hospitalizations_2021-03-05,forecasted_hospitalizations_2021-03-06,forecasted_hospitalizations_2021-03-07,forecasted_hospitalizations_2021-03-08,forecasted_hospitalizations_2021-03-09,forecasted_hospitalizations_2021-03-10,forecasted_hospitalizations_2021-03-11,forecasted_hospitalizations_2021-03-12,forecasted_hospitalizations_2021-03-13,forecasted_hospitalizations_2021-03-14,forecasted_hospitalizations_2021-03-15,forecasted_hospitalizations_2021-03-16,forecasted_hospitalizations_2021-03-17,forecasted_hospitalizations_2021-03-18,forecasted_hospitalizations_2021-03-19,forecasted_hospitalizations_2021-03-20,forecasted_hospitalizations_2021-03-21,forecasted_hospitalizations_2021-03-22,forecasted_hospitalizations_2021-03-23,forecasted_hospitalizations_2021-03-24,forecasted_hospitalizations_2021-03-25,forecasted_hospitalizations_2021-03-26,forecasted_hospitalizations_2021-03-27
0,Alabama,Alabama,01,88.21428571428572,89.07142857142857,83.42857142857143,83.42857142857143,77.85714285714286,75.85714285714286,73.35714285714286,74.78571428571429,77.35714285714286,72.78571428571429,77.64285714285714,71.0,68.07142857142857,69.14285714285714,69.14285714285714,69.92857142857143,69.64285714285714,74.42857142857143,65.42857142857143,67.57142857142857,69.14285714285714,73.57142857142857,78.21428571428571,71.28571428571429,75.14285714285714,70.35714285714286
1,"Autauga County, Alabama",Alabama,01001,1.7000439090509916,1.7165625543211227,1.6078148062927597,1.6078148062927597,1.5004436120369076,1.6908844675469519,1.6351585199347642,1.6670019185703,1.7243200361142643,1.6224211604805499,1.7306887158413715,1.58261691218613,1.669941729353867,1.6962262266679364,1.6962262266679364,1.7155015246982537,1.7084923254145021,1.8258964134173448,1.605106635979163,1.6952302096578642,1.7346541680220002,1.8457580506845663,1.9622379276695148,1.788414111245823,1.8851820090487028,1.7651181358488333
2,"Baldwin County, Alabama",Alabama,01003,4.089412191443462,4.129147370631577,3.8675574409764892,3.8675574409764892,3.6092787762537446,3.1707650856243794,3.0662671779060617,3.1259802680308146,3.23346383025537,3.042381941856161,3.24540644828032,2.967740579200219,2.94923439942217,2.995654668038469,2.995654668038469,3.029696198357088,3.017317460059408,3.224661326545542,2.834731070168634,2.8552760023487758,2.921677769845259,3.108810023698984,3.3049970640295028,3.012225634613191,3.1752117911954674,2.9729882265470873
3,"Barbour County, Alabama",Alabama,01005,0.5054631768516573,0.5103745599465723,0.47804128790504924,0.47804128790504924,0.44611729778810244,0.45444723267809845,0.43947015815480894,0.4480284864538315,0.46343347739207214,0.43604682683519985,0.46514514305187654,0.42534891646142164,0.40641888674964055,0.4128158262053012,0.4128158262053012,0.4175069151394524,0.41580106461794286,0.4443740608532271,0.39063976942567763,0.4254859981666026,0.4353810213797794,0.4632669958896413,0.4925022917467546,0.4488742348522932,0.4731620191028181,0.4430271756808706
4,"Bibb County, Alabama",Alabama,01007,0.38447465047759044,0.3882104365551055,0.36361651154479807,0.36361651154479807,0.33933390204095026,0.3207862818904224,0.3102142292857475,0.3162554022027046,0.3271295134532274,0.30779776011896465,0.32833774803661875,0.30024629397276825,0.27094592449976035,0.2752105508035341,0.2752105508035341,0.2783379434263016,0.2772007097452952,0.29624937390215145,0.26042651295045177,0.3042649160678554,0.31134084434850323,0.33128209677578335,0.35218824851406094,0.32098983745847753,0.33835802505643114,0.316808607110822
5,"Blount County, Alabama",Alabama,01009,0.9517764074759931,0.9610244373462054,0.9001415740339758,0.9001415740339758,0.8400293798775973,0.7931528947840114,0.767013204277947,0.7819501702814124,0.80883670908765,0.7610384178765609,0.811824102288343,0.7423672103722291,0.7104722268026393,0.7216548956400366,0.7216548956400366,0.729855519454128,0.726873474430822,0.7768227285711965,0.6828883103370594,0.646761096489931,0.661802052222255,0.704190200195168,0.7486293875861252,0.6823124464026968,0.719231155927492,0.6734246089245054
6,"Bullock County, Alabama",Alabama,01011,0.18551574044023594,0.18731832253358235,0.1754513237523851,0.1754513237523851,0.16373454014563335,0.15020944945662637,0.14525904387189764,0.1480878470631712,0.15317969280746363,0.14412752259538822,0.1537454534457183,0.14059151860629623,0.12708083184502036,0.12908105480165763,0.12908105480165763,0.1305478849698583,0.1300144921814217,0.1389488213877348,0.12214694855198181,0.13455540112960934,0.13768459650471654,0.14650323801638226,0.1557485879882899,0.14195168110713546,0.14963243339148946,0.14010261111275393
7,"Butler County, Alabama",Alabama,01013,0.33742355688767556,0.3407021663473129,0.31911798740470043,0.31911798740470043,0.29780702591705777,0.28132447737215616,0.27205295504821503,0.2773509678047528,0.28688739076652087,0.26993374994559993,0.28794699331782836,0.2633112339999277,0.23018414824758401,0.23380719360300248,0.23380719360300248,0.23646409353030934,0.23549794810219773,0.2516808840230667,0.2212473030375519,0.24971542912341918,0.2555227646844289,0.2718888921745473,0.2890469290593488,0.26344185863126046,0.277696227735557,0.2600102512543001
8,"Calhoun County, Alabama",Alabama,01015,3.6631603062179026,3.698753766683178,3.46443015195345,3.46443015195345,3.2330726589291614,3.1620362072055928,3.0578259743880825,3.117374678855231,3.2245623468960987,3.034006492601223,3.236472087789528,2.9595706120172873,2.7267968330867647,2.7697159857586446,2.7697159857586446,2.8011900310513567,2.7897449236721883,2.9814504722732518,2.6209295898294616,2.8846887660052634,2.9517745512612,3.1408344915279303,3.339042493420469,3.0432551675192956,3.2079202767838657,3.0036135671407873
9,"Chambers County, Alabama",Alabama,01017,0.5931540062236307,0.5989174459602166,0.5609748010276928,0.5609748010276928,0.5235124427398846,0.49469239808010196,0.478388976297801,0.48770521731625877,0.5044744511494825,0.47466247989041804,0.5063376993531741,0.4630171786173459,0.47475480576064216,0.4822273368061926,0.4822273368061926,0.487707192906263,0.48571451796078285,0.5190918232975752,0.4563225625149509,0.47779755744152347,0.48890912854481466,0.5202235561995445,0.5530531980956324,0.5040612709583937,0.5313351273028358,0.4974953425791762
